,area_type,availability,location,size,society,total_sqft,bath,balcony,price
7467,Super built-up  Area,Ready To Move,Hoodi,3 BHK,Shyalha,1530,2.0,2.0,67.0
7469,Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,1800,3.0,1.0,70.0
7470,Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,1088,2.0,2.0,48.0
7471,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1533,3.0,1.0,98.18
7473,Built-up  Area,Ready To Move,Thubarahalli,3 BHK,Asnts a,1540,3.0,3.0,90.0
7475,Super built-up  Area,19-Mar,Hosa Road,2 BHK,Skume R,1040,2.0,1.0,68.59
7478,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1180,2.0,1.0,41.3
7479,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,2.0,100.0
7485,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,1124,2.0,1.0,30.35
7487,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1100,2.0,1.0,71.42
7488,Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Smentha,1019,2.0,1.0,58.0
7489,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1756,3.0,2.0,128.0
7490,Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1280,3.0,1.0,50.0
7493,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,118.0
7494,Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2.0,1.0,98.0
7497,Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,2515,4.0,3.0,155.0
7498,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,154.0
7499,Super built-up  Area,Ready To Move,Basapura,3 BHK,Amageru,1440,3.0,2.0,72.0
7500,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186,2.0,2.0,55.33
7502,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Chtert ,1800,3.0,2.0,140.0
7503,Built-up  Area,Ready To Move,Kudlu,3 BHK,GKityde,1600,3.0,3.0,79.0
7504,Built-up  Area,Ready To Move,GM Palaya,2 BHK,Srg Bnc,1000,2.0,1.0,35.0
7506,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,59.0
7507,Super built-up  Area,20-Jan,Binny Pete,3 BHK,She 2rk,1740,3.0,1.0,150.0
7509,Built-up  Area,Ready To Move,Benson Town,2 BHK,Gohts H,1567,3.0,0.0,140.0
7510,Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,45.5
7513,Built-up  Area,Ready To Move,Begur,3 Bedroom,Duity C,3500,4.0,2.0,185.0
7514,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1220,2.0,2.0,52.0
7521,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,NCierar,1170,2.0,2.0,120.0
7522,Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Ajens G,1670,3.0,2.0,75.0
7523,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2264,3.0,2.0,168.0
7525,Super built-up  Area,Ready To Move,Begur,2 BHK,Viodspr,1100,2.0,2.0,55.0
7527,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,160.0
7529,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PSmalsh,1125,2.0,2.0,65.0
7532,Built-up  Area,Ready To Move,BTM Layout,3 BHK,Lancya ,1300,2.0,1.0,75.0
7533,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Meowns ,1600,3.0,2.0,83.0
7534,Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1052,2.0,1.0,60.0
7536,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Ladenea,1130,2.0,2.0,36.0
7538,Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,2200,3.0,3.0,220.0
7539,Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,63.0
7540,Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,1350,3.0,1.0,47.25
7541,Super built-up  Area,Ready To Move,Gottigere,3 BHK,MBireap,1230,2.0,2.0,52.0
7542,Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,85.0
7543,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.25
7544,Super built-up  Area,20-Oct,Hosa Road,2 BHK,Skume R,1040,2.0,1.0,61.0
7546,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,4.0,3.0,201.0
7547,Super built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,780,1.0,1.0,70.0
7548,Super built-up  Area,Ready To Move,Panathur,2 BHK,Saite G,1140,2.0,1.0,51.2
7549,Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1225,3.0,1.0,33.08
7550,Built-up  Area,Ready To Move,Nagavarapalya,1 BHK,MYncysi,646,1.0,0.0,25.84
7552,Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,125.0
7555,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1458,2.0,2.0,62.0
7559,Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,67.0
7560,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,M ondit,1105,2.0,1.0,50.0
7561,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1700,3.0,3.0,150.0
7562,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Dehts H,1170,2.0,3.0,50.0
7563,Built-up  Area,Ready To Move,Chandapura,2 BHK,GCbowai,1080,2.0,3.0,45.0
7564,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,62.0
7565,Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,57.9
7567,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,75.0
7569,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1040,2.0,2.0,50.0
7570,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1085,2.0,2.0,33.7
7573,Plot  Area,Ready To Move,Hoodi,4 Bedroom,Kreera ,1100,4.0,1.0,120.0
7575,Built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,1050,2.0,1.0,55.0
7577,Super built-up  Area,18-Aug,Iblur Village,3 BHK,DNionfl,1920,3.0,2.0,150.0
7579,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,947.55,2.0,1.0,80.0
7580,Built-up  Area,Ready To Move,Malleshpalya,2 BHK,KencyRe,1421,2.0,1.0,90.0
7582,Super built-up  Area,18-May,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,74.31
7583,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,58.0
7584,Super built-up  Area,18-Jul,Whitefield,1 BHK,Prtates,905,1.0,1.0,60.0
7585,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,914,2.0,1.0,32.0
7588,Plot  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,3500,4.0,1.0,289.0
7591,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1537,2.0,3.0,70.0
7594,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Aimesya,2250,3.0,1.0,200.0
7595,Plot  Area,Ready To Move,Hosur Road,4 Bedroom,KrineAq,2000,4.0,1.0,69.0
7599,Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2.0,0.0,32.0
7601,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,1.0,48.72
7604,Built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,1220,2.0,2.0,49.0
7605,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,85.0
7606,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1415,3.0,1.0,65.0
7607,Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,15Acres,3.0,1.0,217.0
7608,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1728,3.0,2.0,125.0
7609,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,125.0
7610,Super built-up  Area,19-Dec,Venkatapura,2 BHK,ThBayah,1235,2.0,1.0,140.0
7613,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495,2.0,2.0,83.0
7615,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2501,3.0,3.0,138.0
7616,Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381,1.0,0.0,28.0
7617,Super built-up  Area,19-Mar,Gopalapura,4 BHK,Sothadr,3301.8,5.0,2.0,570.0
7618,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2002,3.0,2.0,120.0
7619,Built-up  Area,17-Mar,Meenakunte,3 Bedroom,Sreat R,3200,3.0,0.0,260.0
7626,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1450,3.0,2.0,90.0
7627,Super built-up  Area,Ready To Move,Electronic City,2 BHK,MDonta ,1039,2.0,1.0,50.0
7628,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,80.0
7629,Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,995,1.0,1.0,24.88
7630,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1620,3.0,2.0,90.0
7631,Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,3204,4.0,3.0,395.0
7632,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3408,3.0,3.0,260.0
7633,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,1314,2.0,3.0,55.0
7634,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,945,2.0,1.0,33.0
7635,Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1374,3.0,2.0,72.0
7636,Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1603,3.0,3.0,113.0
7637,Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1230,2.0,2.0,52.0
7639,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1864,3.0,2.0,105.0
7640,Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,2500,3.0,2.0,100.0
7641,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625,2.0,2.0,54.0
7642,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186,2.0,3.0,55.0
7644,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,39.9
7645,Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,1085,2.0,1.0,45.0
7646,Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3754,6.0,2.0,480.0
7647,Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1893,3.0,2.0,115.0
7649,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496,2.0,3.0,78.0
7650,Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1305,3.0,1.0,33.28
7651,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550,2.0,2.0,82.0
7653,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494,2.0,2.0,94.55
7654,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1286,2.0,2.0,69.0
7656,Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860,3.0,2.0,95.0
7658,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,45.0
7659,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1200,2.0,2.0,75.0
7660,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,2.0,32.0
7661,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040,2.0,1.0,41.59
7664,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,2.0,2.0,59.0
7666,Super built-up  Area,Ready To Move,Belatur,2 BHK,ViaarSa,1250,2.0,1.0,43.0
7671,Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,57.84
7672,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,1.0,51.15
7673,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,3.0,3.0,100.0
7674,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859,3.0,2.0,121.0
7675,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3.0,2.0,262.0
7676,Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,900,1.0,1.0,25.0
7677,Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305,3.0,1.0,60.0
7679,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,763 - 805,1.0,0.0,35.285
7681,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150,2.0,0.0,36.8
7682,Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,1806,3.0,3.0,85.0
7683,Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2.0,2.0,42.0
7684,Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08
7685,Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,36.21
7686,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.22
7687,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08
7688,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,1.0,89.04
7689,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.6
7694,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255,2.0,1.0,53.87
7695,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1434,3.0,3.0,84.0
7696,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,925,2.0,2.0,30.0
7697,Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1858,3.0,1.0,123.0
7698,Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205,2.0,1.0,70.0
7699,Plot  Area,18-Jul,Nelamangala,3 Bedroom,V2gesre,1500,3.0,2.0,90.0
7702,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965,2.0,1.0,56.0
7705,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,1636,2.0,2.0,82.89
7706,Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724,3.0,1.0,125.0
7707,Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,1216,2.0,1.0,67.0
7708,Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654,1.0,1.0,36.25
7712,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,92.0
7713,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,1195,2.0,2.0,73.0
7714,Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3.0,3.0,251.0
7717,Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,1546,3.0,1.0,95.0
7718,Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3307 - 3464,6.0,0.0,142.0
7722,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1475,2.0,2.0,171.0
7723,Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,3000,3.0,2.0,150.0
7725,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,66.0
7734,Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909,2.0,1.0,43.0
7736,Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,1400,2.0,3.0,85.0
7739,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150,2.0,2.0,55.0
7740,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5.0,1.0,173.0
7741,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,1310,2.0,2.0,85.0
7742,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,126.0
7743,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1645,3.0,2.0,110.0
7745,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1795,3.0,2.0,150.0
7747,Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,620 - 934,1.0,0.0,38.535
7748,Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,70.0
7750,Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,3746,6.0,1.0,375.0
7751,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.0
7752,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1020,2.0,2.0,55.0
7754,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,32.92
7756,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,4.0,2.0,203.0
7757,Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,PavanSa,850,1.0,0.0,35.5
7759,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,110.0
7761,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,1120,2.0,2.0,50.0
7768,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1492,3.0,1.0,88.0
7769,Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498,3.0,3.0,79.15
7770,Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,3500,2.0,1.0,350.0
7771,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010,2.0,1.0,48.27
7772,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,53.5
7773,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1050,2.0,1.0,35.0
7774,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847,3.0,2.0,125.0
7777,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2144.6,4.0,2.0,145.0
7778,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,750,2.0,1.0,36.5
7779,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,35.0
7780,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1087,2.0,1.0,54.3
7781,Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,Bustain,1480,3.0,2.0,74.0
7784,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,2.0,65.0
7786,Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072,3.0,2.0,122.0
7789,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,220.0
7790,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1253,2.0,2.0,81.5
7791,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1061,2.0,1.0,54.92
7793,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,1250,2.0,2.0,68.0
7794,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1585,2.0,3.0,80.0
7795,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,60.98
7796,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,1015,2.0,2.0,37.0
7797,Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2462 - 2467,6.0,0.0,118.0
7799,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,1116,2.0,2.0,40.0
7801,Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,4000,4.0,2.0,325.0
7802,Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900,4.0,2.0,410.0
7803,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300,2.0,2.0,100.0
7804,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,1.0,60.42
7805,Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,DSionhe,1310,2.0,1.0,55.0
7806,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,152.0
7807,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,KKersow,1240,2.0,1.0,58.58
7809,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,89.0
7813,Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315,3.0,1.0,65.0
7814,Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Unateit,1410,2.0,2.0,73.0
7815,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,1375,2.0,1.0,60.0
7816,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1299,2.0,2.0,95.0
7817,Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,993,2.0,3.0,45.5
7821,Super built-up  Area,18-Nov,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,95.0
7822,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1655,3.0,2.0,131.0
7823,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830,5.0,3.0,190.0
7825,Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1.0,1.0,15.0
7827,Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,111.0
7830,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3.0,2.0,63.0
7832,Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3750,6.0,2.0,375.0
7834,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1295,2.0,3.0,78.5
7835,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,100.0
7842,Super built-up  Area,20-Dec,Whitefield,1 BHK,Oreldhi,840,1.0,1.0,57.6
7843,Super built-up  Area,20-Dec,Whitefield,1 BHK,Somns T,540 - 740,1.0,0.0,19.83
7844,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,1.0,71.38
7846,Built-up  Area,Ready To Move,Babusapalaya,2 BHK,AReenui,1305,2.0,1.0,70.0
7847,Built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,Jae 1ke,450,1.0,1.0,18.0
7848,Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,Pu270a ,705,1.0,1.0,57.0
7854,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1779,3.0,2.0,90.0
7855,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,10200,4.0,1.0,1250.0
7856,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,RailsDa,870,2.0,2.0,38.0
7857,Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1595,3.0,2.0,120.0
7858,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0
7861,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,2000,4.0,2.0,138.0
7862,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1614,3.0,2.0,93.0
7864,Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Sravehi,1150,3.0,3.0,46.0
7866,Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,Skacak ,1610,3.0,2.0,80.48
7868,Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,1050,2.0,2.0,50.0
7869,Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800,5.0,2.0,420.0
7870,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1460,2.0,1.0,97.0
7873,Built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1569,3.0,0.0,70.0
7875,Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,645,1.0,0.0,42.5
7879,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,90.0
7880,Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,2780,4.0,1.0,325.0
7882,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.47
7883,Super built-up  Area,Ready To Move,Vasanth nagar,4 BHK,LeeyaCa,2000,3.0,2.0,1063.0
7885,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1215,2.0,1.0,68.0
7887,Built-up  Area,Ready To Move,Prithvi Layout,3 Bedroom,Prigh L,2273,4.0,2.0,192.0
7893,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Conixt ,1225,2.0,1.0,69.0
7894,Plot  Area,Ready To Move,Whitefield,4 Bedroom,UKe 2nz,5200,5.0,3.0,242.0
7896,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,145.0
7897,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,1.0,197.0
7899,Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1127,2.0,1.0,45.0
7903,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,P num P,1000,2.0,2.0,43.0
7905,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hedosme,1350,2.0,2.0,45.0
7907,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Mosom B,1175,2.0,3.0,49.0
7908,Super built-up  Area,Ready To Move,Sanne Amanikere,1 BHK,Hoxiaa ,655,1.0,2.0,27.0
7909,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1311,2.0,1.0,84.86
7911,Carpet  Area,Ready To Move,CV Raman Nagar,2 BHK,Mancyes,1000,2.0,1.0,38.5
7913,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1050,2.0,1.0,59.0
7916,Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,1520,2.0,3.0,61.0
7918,Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1333,2.0,1.0,104.0
